movieid,year,isEnglish,country,runningtime,genres,avg_rating,num_ratings,is_a_hit,number_actors,actor_quality,director_quality,director_revenue,director_number
1672052,3,T,other,1,Drama,4.102777777777778,360.0,1,many,high,low,high,single
1672111,4,T,other,1,Action,2.6280193236714977,414.0,1,many,low,low,high,single
1672580,4,T,USA,1,Comedy,2.6923076923076925,52.0,0,many,low,low,low,single
1672716,4,T,USA,1,Drama,3.3714285714285714,70.0,0,few,high,high,low,single
1672946,4,T,USA,0,Action,3.71356783919598,199.0,1,few,low,low,low,single
1673647,3,F,France,1,Drama,,,0,few,low,high,high,single
1673658,4,T,USA,1,Comedy,2.5,2.0,0,few,low,low,low,single
1673848,4,T,USA,1,Comedy,3.422857142857143,700.0,1,many,high,high,high,single
1674388,4,T,USA,1,Adventure,3.4,745.0,1,few,low,low,high,single
1674737,3,T,USA,1,Drama,4.295454545454546,616.0,1,few,high,high,high,single
1677011,4,T,USA,1,Comedy,3.283216783216784,286.0,1,few,low,low,high,single
1677258,3,F,France,0,Comedy,3.6,5.0,0,few,high,high,low,single
1677346,4,T,USA,0,Documentary,2.856115107913669,139.0,1,few,low,low,low,single
1677472,1,T,USA,0,Other,3.7026086956521738,575.0,1,many,high,low,low,single
1677516,4,T,USA,1,Comedy,2.883977900552486,181.0,1,few,low,low,high,single
1677631,3,T,USA,1,Adventure,4.068764568764569,1716.0,1,many,high,high,high,single
1678036,3,T,USA,1,Other,3.4170212765957446,470.0,1,few,high,low,high,single
1678591,4,T,UK,1,Comedy,4.0,5.0,0,many,high,high,low,single
1679029,4,T,USA,1,Comedy,3.0653465346534654,505.0,1,many,low,low,high,single
1679461,4,T,USA,0,Action,1.3617021276595744,47.0,0,many,low,low,low,single
1679507,4,T,USA,0,Comedy,2.75,4.0,0,many,low,low,high,single
1679920,4,F,other,1,Horror,2.888888888888889,9.0,0,few,high,high,low,single
1681633,4,T,USA,1,Crime,3.3,140.0,1,many,low,high,high,single
1681655,4,T,USA,1,Drama,2.7674418604651163,258.0,1,many,low,low,high,single
1682630,3,F,USA,0,Crime,4.105263157894737,228.0,1,few,high,high,low,single
1682657,4,T,USA,0,Comedy,2.317241379310345,145.0,1,many,low,low,low,single
1682692,4,T,USA,1,Documentary,3.3194444444444446,72.0,0,many,low,low,high,single
1682746,4,T,UK,1,Comedy,2.4693877551020407,49.0,0,many,low,high,low,single
1682922,4,T,USA,1,Crime,2.863970588235294,272.0,1,many,low,low,high,single
1684201,4,T,USA,1,Crime,3.0,1.0,0,few,low,low,low,single
1684430,4,T,USA,1,Crime,3.931558935361217,263.0,1,many,high,high,high,single
1684442,4,T,USA,0,Drama,2.5,2.0,0,few,low,low,low,single
1684486,4,T,USA,0,Adventure,3.854289071680376,1702.0,1,many,high,high,high,multiple
1684910,4,T,USA,0,Documentary,,,0,many,high,low,low,single
1685241,2,T,USA,0,Drama,3.989690721649485,194.0,1,few,high,high,low,single
1685309,3,T,USA,0,Comedy,4.238905325443787,1352.0,1,few,high,low,high,single
1685405,4,T,USA,1,Drama,3.358428805237316,611.0,1,many,low,high,high,single
1685463,3,T,UK,1,Crime,4.0781122864117165,1229.0,1,many,high,high,high,single
1685493,4,T,UK,0,Animation,4.52054794520548,657.0,1,few,high,high,high,single
1685815,4,T,USA,1,Drama,3.411764705882353,17.0,0,many,low,low,high,single
1686071,4,T,other,1,Drama,3.515151515151515,66.0,0,few,high,high,low,single
1686209,2,T,USA,1,Comedy,3.782608695652174,23.0,0,few,high,high,low,single
1687181,4,T,USA,1,Drama,3.25,8.0,0,few,low,low,low,single
1687191,1,T,USA,0,Animation,3.6666666666666665,24.0,0,many,high,high,low,single
1687544,3,T,USA,1,Drama,4.202702702702703,74.0,0,few,high,high,low,single
1687685,4,T,USA,1,Comedy,3.623376623376624,77.0,0,many,high,low,high,single
1687730,4,T,USA,1,Adventure,3.4545454545454546,55.0,0,few,low,low,high,single
1687738,2,T,USA,0,Drama,3.571428571428572,56.0,0,few,high,high,low,single
1687905,4,T,USA,1,Crime,3.93119698397738,1061.0,1,many,high,high,high,single
1688103,4,T,USA,1,Comedy,3.971342383107089,1326.0,1,many,high,high,high,multiple
1688565,4,T,UK,1,Drama,,,0,many,low,low,low,single
1689117,4,T,other,0,Comedy,2.642857142857143,28.0,0,few,low,low,high,single
1689183,4,T,USA,0,Adventure,2.875,168.0,1,many,high,high,high,single
1689210,4,T,UK,0,Adventure,4.361522198731501,473.0,1,few,high,high,high,single
1689263,4,T,USA,0,Documentary,4.121951219512195,41.0,0,many,high,high,low,single
1689475,3,T,UK,0,Comedy,3.88996138996139,518.0,1,few,high,low,high,single
1690318,4,T,USA,0,Adventure,2.423611111111111,144.0,1,few,low,low,high,single
1690377,3,T,UK,1,Comedy,3.4166666666666665,12.0,0,few,high,high,low,single
1690616,4,T,USA,1,Comedy,3.6797088262056414,1099.0,1,many,high,low,high,single
1690710,4,T,USA,0,Crime,,,0,many,low,low,low,multiple
1690773,4,T,UK,1,Comedy,3.1724137931034484,116.0,0,few,low,high,high,single
1690958,4,T,other,1,Comedy,,,0,few,low,low,low,single
1691077,4,T,USA,1,Drama,3.872093023255814,172.0,1,few,high,high,high,single
1691387,4,T,USA,1,Action,2.7450980392156863,102.0,0,many,low,low,high,single
1691642,3,T,UK,1,Documentary,4.232876712328767,219.0,1,few,high,high,high,single
1691685,4,T,other,1,Comedy,3.4,10.0,0,few,high,high,low,single
1691793,4,T,USA,1,Drama,3.450980392156863,51.0,0,many,low,low,low,single
1692173,4,T,other,1,Comedy,3.3493975903614457,415.0,1,many,low,low,high,single
1692404,4,T,USA,0,Comedy,3.0,3.0,0,many,low,low,low,single
1692580,4,T,UK,0,Comedy,3.15625,32.0,0,few,low,low,low,single
1693225,4,T,USA,0,Comedy,2.3819444444444446,144.0,1,many,low,low,high,multiple
1693305,3,T,UK,1,Action,3.875,144.0,1,many,high,high,low,single
1693341,3,T,USA,0,Horror,3.4855875831485585,451.0,1,few,high,low,high,single
1693345,4,T,USA,1,Horror,2.64179104477612,268.0,1,few,low,low,high,single
1693346,4,T,USA,1,Horror,2.239669421487603,242.0,1,few,low,low,high,single
1693347,4,T,USA,0,Horror,2.321167883211679,274.0,1,few,low,low,high,single
1693348,4,T,USA,0,Comedy,1.995,200.0,1,many,low,low,high,single
1693818,4,T,USA,1,Documentary,3.727272727272727,33.0,0,few,high,high,low,multiple
1693861,4,T,USA,1,Crime,3.371571072319202,401.0,1,many,low,low,high,single
1693880,4,T,USA,1,Crime,3.522727272727273,308.0,1,many,high,high,high,single
1694141,2,T,USA,1,Drama,3.962686567164179,134.0,1,few,high,high,low,single
1694448,4,T,UK,1,Drama,3.36,25.0,0,many,low,high,high,single
1694647,4,T,USA,0,Comedy,2.7586206896551726,29.0,0,few,low,low,low,single
1694901,3,T,USA,1,Drama,3.972027972027972,143.0,1,few,high,low,high,single
1695219,4,T,USA,1,Drama,3.756019261637239,623.0,1,many,high,high,high,single
1695355,4,T,UK,1,Drama,3.996428571428571,560.0,1,few,high,high,high,single
1696148,4,T,France,1,Crime,3.751677852348993,745.0,1,few,high,high,high,single
1696165,4,T,USA,1,Comedy,3.163636363636364,55.0,0,many,low,low,low,single
1696168,4,T,USA,0,Comedy,2.7777777777777777,27.0,0,many,low,low,high,single
1696396,4,T,USA,1,Comedy,2.45,20.0,0,many,low,low,low,single
1696473,4,T,France,1,Drama,3.7142857142857135,70.0,0,many,high,high,high,single
1696496,3,T,USA,1,Drama,3.737804878048781,164.0,1,many,high,high,high,single
1696789,2,T,USA,1,Drama,3.351648351648352,91.0,0,few,high,high,low,multiple
1697037,2,T,USA,1,Drama,4.225672877846791,483.0,1,few,high,high,low,single
1697674,4,T,USA,1,Comedy,2.263157894736842,19.0,0,few,low,low,high,single
1697690,4,T,USA,1,Drama,2.72,50.0,0,few,low,low,high,single
1697774,4,T,other,0,Documentary,,,0,few,high,high,low,single
1697856,4,T,USA,1,Crime,3.5901162790697674,344.0,1,many,high,low,high,single
1698492,4,T,USA,0,Comedy,2.560846560846561,189.0,1,many,low,low,high,single
1698547,3,T,USA,0,Drama,3.333333333333333,3.0,0,many,high,high,low,single
1698667,4,T,UK,1,Action,3.267692307692308,325.0,1,many,high,low,high,single
1698944,4,T,USA,1,Drama,3.132420091324201,219.0,1,few,low,high,high,single
1698960,2,T,USA,1,Drama,4.0,6.0,0,few,high,high,low,single
1698972,4,T,USA,1,Drama,3.5980392156862746,102.0,0,few,low,low,low,single
1699546,1,F,USA,0,Drama,2.75,8.0,0,few,high,high,low,single
1699876,4,T,UK,1,Comedy,3.413793103448276,29.0,0,few,high,high,low,single
1703410,4,T,other,1,Comedy,3.1,20.0,0,few,low,low,low,single
1703469,4,T,USA,1,Comedy,3.156441717791412,326.0,1,many,low,high,high,single
1703588,4,T,USA,1,Crime,3.020408163265306,49.0,0,many,low,low,high,single
1703679,4,F,other,1,Drama,3.951612903225808,62.0,0,few,high,high,low,single
1703907,4,T,USA,1,Crime,3.357894736842105,380.0,1,few,high,high,high,single
